,Unnamed: 0,type,name,author,event,year,names,conf,id,Title,acronym,source,rank,hasData,primaryFoR,FoR2,FoR3
80,160,c,Efficient Sample Rate Conversion in Software Radio Employing Folding Number System.,"['Duc-Minh Pham', 'A. Benjamin Premkumar', 'A. S. Madhukumar']",ICC,2009,A S Madhukumar,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
81,167,c,Modulation Schemes Based on Orthogonal Pulses for Time Hopping Ultra Wideband Radio Systems.,"['Sudhan Majhi', 'A. S. Madhukumar', 'A. Benjamin Premkumar', 'Francois P. S. Chin']",ICC,2007,A S Madhukumar,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
82,175,c,Receive Antenna Selection for MIMO Systems in the Presence of Unknown Interference.,"['Zhiwei Lin', 'A. Benjamin Premkumar', 'A. S. Madhukumar']",ICC,2006,A S Madhukumar,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
83,182,c,Power spectral density and in-band interference power of UWB signals at narrowband systems.,"['Zhenzhen Ye', 'A. S. Madhukumar', 'Francois P. S. Chin']",ICC,2004,A S Madhukumar,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
84,95,c,Coordinated Max-Min SIR Optimization in Multicell Downlink - Duality and Algorithm.,"['Desmond W. H. Cai', 'Tony Q. S. Quek', 'Chee Wei Tan']",ICC,2011,Chee Wei Tan,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
85,248,c,Concurrent constant modulus algorithm and soft decision directed scheme for fractionally-spaced blind equalization.,"['Sheng Chen', 'Engsiong Chng']",ICC,2004,Chng Eng Siong,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
86,469,c,User-Centric Blockchain for Industry 5.0 Applications.,"['Hulin Yang', 'Alia Asheralieva', 'Jin Zhang', 'Md. Monjurul Karim', 'Dusit Niyato', 'Khuhawar Arif Raza']",ICC Workshops,2022,Dusit Niyato,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
87,470,c,Covert Communication for Jammer-aided Multi-Antenna UAV Networks.,"['Hongyang Du', 'Dusit Niyato', 'Yuan-Ai Xie', 'Yanyu Cheng', 'Jiawen Kang', 'Dong In Kim']",ICC,2022,Dusit Niyato,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
88,471,c,Evolutionary Model Owner Selection for Federated Learning with Heterogeneous Privacy Budgets.,"['Wei Yang Bryan Lim', 'Jer Shyuan Ng', 'Jiangtian Nie', 'Qin Hu', 'Zehui Xiong', 'Dusit Niyato', 'Chunyan Miao']",ICC,2022,Dusit Niyato,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
89,472,c,A Dynamic Resource Allocation Framework for Synchronizing Metaverse with IoT Service and Data.,"['Yue Han', 'Dusit Niyato', 'Cyril Leung', 'Chunyan Miao', 'Dong In Kim']",ICC,2022,Dusit Niyato,ICC,634,IEEE International Conference on Communications,ICC,CORE2018,B,No,1006.0,,
